wss,dist_border_1,dist_border_2,dist_border_3,temperature,rainfall,hhi,n_sub,dist_mag_km,treated_1,cons_po,users_fix,cons_fix,cons_pf,cons_phcut1,cons_phcut5,cons_phcut10,cons_ph,year_start,type_org,loc_org,typeorg1,typeorg2,typeorg3,typeorg4,typeorg5,bill_ph,pobl_urb,pobl_tot,indrural,areaoficialkm2,altura,dismdo,nbi,IPM,TMI,tacued,taseo,talcan,y_corr_usd
850,53.778172,53.778172,376.30988,10.8,562.41602,.49143484,.99937546,142.89218,0,37.397926,3215.3999,120191.6,37.397926,37.397926,37.397926,37.397926,37.397926,8,4,1,0,0,0,1,0,.17238919,12099,17895,.32388934,580,480,33.434498,23.300396,48.480862,20.818188,45.470001,45.470001,45.470001,2.40903
851,77.652809,77.652809,436.55347,25.571428,717.07281,.19852266,1,114.87004,0,38.947922,368.64285,14357.143,38.947922,38.947922,38.947922,38.947922,38.947922,6,4,1,0,0,0,1,0,.19152856,1462.5,3421.1428,.57251489,117,2050,57.356228,35.984848,57.638889,18.661009,21.815001,39.063572,21.815001,.42752638
852,108.63385,108.63385,465.7301,25.6,473.01733,.51465744,.99926448,147.99599,0,18.320522,1647.5333,30055.934,18.320522,18.320522,18.320522,18.320522,18.320522,7,4,1,0,0,0,1,0,.21853302,7221.2002,13085.2,.44815651,576,400,79.680428,39.08556,72.675423,21.700825,22.48,34.088001,30.556,1.4378546
853,82.00782,82.00782,420.53357,25.6,614.56934,.59986711,.99407238,117.29423,0,35.025013,2419.1333,84668.07,35.025013,35.025013,35.025013,34.285233,35.025013,8,4,1,0,0,0,1,0,.2136637,6767,9331.5996,.27483663,638,518,50.003326,19.423897,45.88657,21.024351,62.666,48.445999,47.417999,2.406219
854,222.93375,222.93375,549.47876,25.923077,666.67688,.051896375,1,324.55661,0,38.652794,364.84616,14096.923,38.652794,38.652794,38.652794,38.652794,38.652794,6,4,1,0,0,0,1,0,.24463741,1354.3846,16874.385,.91972357,11938,518,182.9854,100,97.575058,39.902,8.3776922,8.1346149,5.1969233,.87541896
855,173.72191,173.72191,607.95563,25.916666,533.55914,.094459817,1,182.16203,0,37.508919,797.25,29846.666,37.508919,37.508919,37.508919,37.508919,37.508919,6,4,1,0,0,0,1,0,.14102632,4394.9165,32010.75,.86267507,11231,518,162.31119,100,74.365662,21.993866,25.3225,21.813334,47.224998,.99665958
856,50.478222,50.478222,499.36206,24.846153,539.27844,.35093367,1,85.363129,0,37.837036,366.23077,13847.538,37.837036,37.837036,37.837036,37.837036,37.837036,8,4,1,0,0,0,1,0,.2340772,3760.5386,15860.308,.76292264,6307,518,111.92399,50.471581,93.819809,35.636551,47.485386,46.701538,46.571537,.67235321
857,228.10942,228.10942,564.09534,26,435.698,.048377257,1,274.22418,0,37.893135,409.29999,15514,37.893135,37.893135,37.893135,37.893135,37.893135,8,4,1,0,0,0,1,0,.25676602,10159.1,20468.801,.50366288,1298,518,170.92944,100,87.776588,29.943548,38.397999,38.397999,38.397999,.99239594
858,142.12497,142.12497,486.72177,25.90909,466.47726,.50219524,1,181.31921,0,20.749804,698.72729,14499.909,20.749804,20.749804,20.749804,20.749804,20.749804,7,4,1,0,0,0,1,0,.15263064,2990.2727,9937,.69906741,2061,250,101.67325,59.842747,85.636208,37.320694,34.631817,26.75091,13.985455,1.247504
859,175.13208,175.13208,524.00208,26,427.216,.37851486,1,214.03859,0,36.286388,711.20001,25727.9,36.286388,36.286388,36.286388,36.286388,36.286388,8,4,1,0,0,0,1,0,.22045106,5191.2002,18509.1,.71952724,3772,250,158.13017,100,77.845161,27.129614,13.557,21.153,19.298,1.0944351
860,104.72015,104.72015,438.91742,26,310.84909,.41639456,.99907875,178.73338,0,32.444725,1973.6364,63948.184,32.444725,32.444725,32.444725,32.444725,32.444725,8,4,1,0,0,0,1,0,.18110165,4555.0908,9425.5459,.51672029,814,240,41.334507,39.032654,61.983978,21.754162,61.191818,63.069092,61.699089,2.4566457
863,94.255348,125.19292,125.19292,28.6875,193.26399,.59615809,.93473768,114.72614,0,23.80101,16030.813,382547.81,23.80101,23.80101,23.80101,23.80101,23.80101,10,4,0,0,0,0,1,0,.41462275,52185.25,90872,.42573509,266,19,258.37152,50.429199,72.848869,18.82271,62.848751,52.361252,34.037498,6.1594291
864,85.392509,109.79021,109.79021,28.333334,224.51733,.47419834,.99536598,96.788864,0,20.685072,5920.7334,122412.87,20.685072,20.685072,20.685072,20.685072,20.685072,10,4,0,0,0,0,1,0,.41227731,25169.268,63113.332,.60121602,644,25,255.89113,61.843731,84.833382,27.534262,43.202667,54.966667,39.165333,1.8881923
865,64.643044,89.816803,89.816803,28.266666,201.63068,.62901127,.96344483,75.918037,0,19.176828,9594.5996,184705.73,19.176828,19.176828,19.176828,19.176828,19.176828,10,4,0,0,0,0,1,0,.41239294,47942,89670.469,.46535566,993,82,249.32477,53.801899,74.677917,17.132305,63.591999,48.539333,52.994667,4.7898021
866,96.610489,121.75425,121.75425,28.5625,185.26399,.12324353,1,107.65595,0,20.894873,1884.6875,39417.438,20.894873,20.894873,20.894873,20.894873,20.894873,10,4,0,0,0,0,1,0,.41590282,5585.25,26781.875,.79146385,505,25,267.02805,66.21582,91.737244,22.598034,33.759998,33.759998,0,.84821212
870,69.738091,69.738091,637.64874,20.266666,343.552,.28001505,.9833256,89.945488,0,20.232643,3887.6667,78250.203,20.232643,20.232643,20.232643,20.232643,20.232643,11,3,0,0,0,1,0,0,.30839941,1566.2,25815.4,.93932861,418,1635,66.594147,62.292793,89.003769,24.143389,38.68,5.7600002,5.7600002,.85867983
871,65.090202,65.090202,643.37677,20.25,299.3425,.16605803,.99165791,76.474342,0,17.472603,2897.5,50403,17.472603,17.472603,17.472603,17.472603,17.472603,11,3,0,0,0,1,0,0,.30860317,14494.375,42200.75,.6565271,171,1765,73.432045,37.98064,72.05442,17.293945,55.10125,29.309999,29.391251,1.5211575
873,86.353096,86.353096,116.03426,19.666666,172.79666,.5567593,.9992646,84.887527,1,21.620178,1363,29446.834,21.620178,21.620178,21.620178,21.620178,21.620178,16,2,0,0,1,0,0,0,.19994831,3601.3333,5933.6665,.3929297,113,1450,50.677906,34.402588,50.38258,17.057514,62.740002,30.620001,30.5,.92171335
874,39.503185,39.503185,226.02669,13.384615,88.308334,.54959309,.99478793,141.64641,1,18.582264,385.69232,7168.3848,18.582264,18.582264,18.582264,18.582264,18.582264,10,2,1,0,1,0,0,0,.29970101,1079,14435.538,.92525965,149,2825,164.0471,38.396694,69.444008,20.434166,100,13.75077,11.390769,1.0536044
878,60.040924,60.040924,355.1622,10.857142,195.49713,.33971831,.98902404,98.85952,0,19.178862,2269.1428,43519,19.178862,19.178862,19.178862,19.178862,19.178862,10,2,1,0,1,0,0,0,.16930953,4704.2856,12205.143,.61456543,478,1895,44.501438,30.360861,49.70507,16.164015,75.625717,20.26,21.062857,1.1109211
884,20.168808,46.034157,46.034157,28.4,409.92133,.51851976,.99566567,45.962124,1,30.404642,8969.5332,272868.13,30.404642,30.404642,30.404642,30.404642,30.404642,10,4,1,0,0,0,1,0,.4652499,56164.602,71451.398,.21394724,566,63,111.25414,58.832756,79.274788,18.23078,28.926001,0,0,2.8116832
